"Address","Type","Category","Occurrences","Priority","Suggested_Label","Example_Contexts"
"$1A3B","WRAM","WRAM (Low)","6","Low","wram_1a3b","graphics_engine_historical.asm:sta $1a3b; graphics_engine_historical.asm:sta $1a3b; graphics_engine_historical.asm:ora $1a3b"
"$0022","WRAM","Zero Page (Direct Page)","6","Low","var_0022","text_engine_historical.asm:lda $0022; text_engine_historical.asm:sta $0022; text_engine_historical.asm:sta $0022"
"$001A","WRAM","Zero Page (Direct Page)","6","Low","var_001a","text_engine_historical.asm:lda $001a; text_engine_historical.asm:sta $001a; text_engine_historical.asm:sta $001a"
"$0028","WRAM","Zero Page (Direct Page)","6","Low","var_0028","text_engine_historical.asm:lda $0028; text_engine_historical.asm:sta $0028; text_engine_historical.asm:sta $0028"
"$1A2F","WRAM","WRAM (Low)","6","Low","wram_1a2f","graphics_engine_historical.asm:sty $1a2f; graphics_engine_historical.asm:sty $1a2f; graphics_engine_historical.asm:adc $1a2f"
"$001C","WRAM","Zero Page (Direct Page)","6","Low","var_001c","text_engine_historical.asm:lda $001c; text_engine_historical.asm:sta $001c; text_engine_historical.asm:sta $001c"
"$001E","WRAM","Zero Page (Direct Page)","6","Low","var_001e","text_engine_historical.asm:lda $001e; text_engine_historical.asm:sta $001e; text_engine_historical.asm:sta $001e"
"$0020","WRAM","Zero Page (Direct Page)","6","Low","var_0020","text_engine_historical.asm:lda $0020; text_engine_historical.asm:sta $0020; text_engine_historical.asm:sta $0020"
"$0024","WRAM","Zero Page (Direct Page)","6","Low","var_0024","text_engine_historical.asm:lda $0024; text_engine_historical.asm:sta $0024; text_engine_historical.asm:sta $0024"
"$1A55","WRAM","WRAM (Low)","6","Low","wram_1a55","graphics_engine_historical.asm:sta $1a55; graphics_engine_historical.asm:ora $1a55; graphics_engine_historical.asm:sta $1a55"
"$002A","WRAM","Zero Page (Direct Page)","6","Low","var_002a","text_engine_historical.asm:lda $002a; text_engine_historical.asm:sta $002a; text_engine_historical.asm:sta $002a"
"$0012","WRAM","Zero Page (Direct Page)","6","Low","var_0012","text_engine_historical.asm:lda $0012; text_engine_historical.asm:sta $0012; text_engine_historical.asm:sta $0012"
"$0038","WRAM","Zero Page (Direct Page)","6","Low","var_0038","text_engine_historical.asm:lda $0038; text_engine_historical.asm:sta $0038; text_engine_historical.asm:sta $0038"
"$00F0","WRAM","Zero Page (Direct Page)","6","Low","var_00f0","graphics_engine_historical.asm:and $00f0; graphics_engine_historical.asm:lda $00f0; graphics_engine_historical.asm:sta $00f0"
"$003A","WRAM","Zero Page (Direct Page)","6","Low","var_003a","text_engine_historical.asm:lda $003a; text_engine_historical.asm:sta $003a; text_engine_historical.asm:sta $003a"
"$003C","WRAM","Zero Page (Direct Page)","6","Low","var_003c","text_engine_historical.asm:lda $003c; text_engine_historical.asm:sta $003c; text_engine_historical.asm:sta $003c"
"$0034","WRAM","Zero Page (Direct Page)","6","Low","var_0034","text_engine_historical.asm:lda $0034; text_engine_historical.asm:sta $0034; text_engine_historical.asm:sta $0034"
"$003E","WRAM","Zero Page (Direct Page)","6","Low","var_003e","text_engine_historical.asm:lda $003e; text_engine_historical.asm:sta $003e; text_engine_historical.asm:sta $003e"
"$0032","WRAM","Zero Page (Direct Page)","6","Low","var_0032","text_engine_historical.asm:lda $0032; text_engine_historical.asm:sta $0032; text_engine_historical.asm:sta $0032"
"$0030","WRAM","Zero Page (Direct Page)","6","Low","var_0030","text_engine_historical.asm:lda $0030; text_engine_historical.asm:sta $0030; text_engine_historical.asm:sta $0030"
"$002E","WRAM","Zero Page (Direct Page)","6","Low","var_002e","text_engine_historical.asm:lda $002e; text_engine_historical.asm:sta $002e; text_engine_historical.asm:sta $002e"
"$0016","WRAM","Zero Page (Direct Page)","6","Low","var_0016","text_engine_historical.asm:lda $0016; text_engine_historical.asm:sta $0016; text_engine_historical.asm:sta $0016"
"$FD50","ROM","ROM (Bank dependent)","6","Low","rom_fd50","graphics_engine_historical.asm:jsr $fd50; graphics_engine_historical.asm:jsr $fd50; graphics_engine_historical.asm:jsr $fd50"
"$0036","WRAM","Zero Page (Direct Page)","6","Low","var_0036","text_engine_historical.asm:lda $0036; text_engine_historical.asm:sta $0036; text_engine_historical.asm:sta $0036"
"$002C","WRAM","Zero Page (Direct Page)","6","Low","var_002c","text_engine_historical.asm:lda $002c; text_engine_historical.asm:sta $002c; text_engine_historical.asm:sta $002c"
"$1902","WRAM","WRAM (Low)","4","Low","wram_1902","graphics_engine_historical.asm:stx $1902; graphics_engine_historical.asm:ldx $1902; graphics_engine.asm:stx $1902"
"$2181","PPU","PPU Registers","4","Low","ppu_2181","graphics_engine_historical.asm:stx $2181; graphics_engine_historical.asm:stx $2181; graphics_engine.asm:stx $2181"
"$1916","WRAM","WRAM (Low)","4","Low","wram_1916","graphics_engine_historical.asm:lda $1916; graphics_engine_historical.asm:lda $1916; graphics_engine.asm:lda $1916"
